"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor.out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","TaxLabel","significance_label"
"ASV1","DESeq2",386.466764684341,-4.51509249515564,1.14849391136164,-3.93131600480374,8.44821398879643e-05,0.000131550760682687,"deseq2",0.000131550760682687,-4.51509249515564,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,"Clade Ia","Significant"
"ASV1","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.784711901347607,-1.30030056956659,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,5.00664343956195,5.42360530681355,3.5243707060714,-1.71805707623502,1.27606734442939,-1.30030056956659,0.0387751645274906,0.354502137934942,0.784711901347607,0.2390625,0.5221335837584,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,"Clade Ia","Significant"
"ASV1","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-4.30652424607322,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1",-4.30652424607322,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE,"Clade Ia","Significant"
"ASV1030","DESeq2",37.7910601669596,-9.05586195035638,1.61369504442926,-5.61187938304619,2.00140928036643e-08,5.19413360857003e-08,"deseq2",5.19413360857003e-08,-9.05586195035638,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aliiglaciecola","Significant"
"ASV1030","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.457014134519129,-1.97946485479993,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,1.44753088317622,1.96190827958677,-3.17269820065655,-5.30357036825952,2.63715429869843,-1.97946485479993,0.000547999460257121,0.137063803068252,0.457014134519129,0.2,0.45901555986124,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aliiglaciecola","Significant"
"ASV1075","DESeq2",31.9849362512682,8.34868544220132,1.39581088406558,5.98124397617829,2.21439902624074e-09,9.67625020682517e-09,"deseq2",9.67625020682517e-09,8.34868544220132,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","conchae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Ruegeria","Significant"
"ASV1075","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.10494900043735,4.34714285519838,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","conchae",-3.40341914531345,-5.5280929609886,5.92969807715876,11.7506830575831,2.83341021781681,4.34714285519838,0.000547999460257121,0.0165606056207534,0.10494900043735,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Ruegeria","Significant"
"ASV1077","DESeq2",20.1533072609829,7.67797659802016,1.52325705475759,5.04049961497931,4.64318061943018e-07,8.87906469329631e-07,"deseq2",8.87906469329631e-07,7.67797659802016,TRUE,"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Lentisphaera","Significant"
"ASV1077","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.121533148594794,4.17434286276361,TRUE,"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",NA,-3.63671178433594,-5.83614285372016,5.08229725797541,10.8932667151908,2.72739258604704,4.17434286276361,0.000547999460257121,0.0219213625308736,0.121533148594794,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Lentisphaera","Significant"
"ASV111","DESeq2",64.3784206652951,-4.78803607199293,2.87130112697429,-1.66754926086016,0.0954052377648584,0.108324697045516,"deseq2",0.108324697045516,-4.78803607199293,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,"Not Significant"
"ASV111","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.998895027642997,-0.204843897776847,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,1.95145643818345,2.94753004568111,0.703620166100421,-1.57460243565295,7.03767698723864,-0.204843897776847,0.320313549445968,0.844054596831794,0.998895027642997,0.729687499999999,0.962643479166709,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,"Not Significant"
"ASV1133","DESeq2",70.790839908863,-5.24886251297558,1.47161165849954,-3.56674431237337,0.000361443832877935,0.000547185802551318,"deseq2",0.000547185802551318,-5.24886251297558,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aurantivirga","Significant"
"ASV1133","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.938805891833507,-0.613002344547979,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,2.63543533947869,3.23217044555279,1.39562694190302,-1.69372793509734,3.36713915582248,-0.613002344547979,0.187502608145345,0.500182477643502,0.938805891833507,0.474999999999999,0.838439873818562,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Aurantivirga","Significant"
"ASV1158","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.102271826392732,4.23863485340335,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,-3.32180437300187,-5.4167197421547,5.49023061357848,10.7601100978295,2.55305013219545,4.23863485340335,0.000547999460257121,0.0163221591734546,0.102271826392732,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Salinirepens","Significant"
"ASV1158","DESeq2",23.737833137198,7.91984733155026,1.34828528783453,5.87401450049958,4.2536614085824e-09,1.44890341729838e-08,"deseq2",1.44890341729838e-08,7.91984733155026,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Salinirepens","Significant"
"ASV116","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.941916348433801,-0.0697992881701188,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,-3.42951791200188,-3.58627889618394,-3.139385570384,-0.465746045341942,6.77505131452688,-0.0697992881701188,0.46875015956559,0.69668085981373,0.941916348433801,0.74375,0.955204597540219,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sedimentitalea","Not Significant"
"ASV116","DESeq2",63.6546749779267,-23.3148750919814,4.40851036895039,-5.28860615962038,NA,NA,"deseq2",NA,-23.3148750919814,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Sedimentitalea","Not Significant"
"ASV1179","DESeq2",33.5371224115052,-0.941814668697499,0.675555859255689,-1.39413292889676,0.163277467092406,0.183476741371879,"deseq2",0.183476741371879,-0.941814668697499,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Aquimarina","Not Significant"
"ASV1179","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.471131989607438,2.04101842092341,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,1.9331174068727,1.45877666631875,4.07206503504573,2.6267010582888,1.17577261935531,2.04101842092341,0.00782930484115282,0.150529172935359,0.471131989607438,0.0015625,0.00426829268292683,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Aquimarina","Not Significant"
"ASV1191","DESeq2",27.0737356163472,8.10682975385556,1.48742845123116,5.45023173863956,5.03042284879943e-08,1.21848020115364e-07,"deseq2",1.21848020115364e-07,8.10682975385556,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Lutimonas","Significant"
"ASV1191","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.11068839841831,4.52292168698817,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA,-3.46999120262516,-5.68604618646569,5.60271379061574,11.1829669682267,2.65681235289535,4.52292168698817,0.000547999460257121,0.0193441796562994,0.11068839841831,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Lutimonas","Significant"
"ASV1194","DESeq2",55.0905082455031,-9.58011007801162,2.02230425327976,-4.73722490692222,2.16664669607203e-06,3.74864269637859e-06,"deseq2",3.74864269637859e-06,-9.58011007801162,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1194","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.471994352860618,-1.57217621528493,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,0.0080014313089869,2.94949184866987,-3.00947653582401,-5.30124933233,3.32550429502343,-1.57217621528493,0.0234638632116018,0.129617673943136,0.471994352860618,0.2328125,0.507658296877694,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1218","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.786541935510749,0.82836686838515,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus",3.03477258174419,2.46556867793923,3.41272085821378,1.03014918393584,1.24022560533772,0.82836686838515,0.13281655334062,0.289081236785565,0.786541935510749,0.1578125,0.392942988031469,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Aureicoccus","Not Significant"
"ASV1218","DESeq2",55.9177727413715,-2.4106485431471,1.21209224630349,-1.98883257482987,0.0467196859622305,0.0547574813965928,"deseq2",0.0547574813965928,-2.4106485431471,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,"Aureicoccus","Not Significant"
"ASV1227","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.106366448710261,5.11375177795787,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera",NA,-3.47379820926418,-5.36783488608216,5.35942056126699,10.7318133031496,2.15955767992972,5.11375177795787,0.000547999460257121,0.0176382317366188,0.106366448710261,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Thauera","Significant"
"ASV1227","DESeq2",23.9977381864158,7.93190612757857,1.52596609214616,5.19795699812894,2.01490722784791e-07,4.04999573915465e-07,"deseq2",4.04999573915465e-07,7.93190612757857,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Thauera","Significant"
"ASV1232","DESeq2",45.34307957928,-9.3003061328391,3.17580480031731,-2.92848796371548,0.00340615020152734,0.00431709734844745,"deseq2",0.00431709734844745,-9.3003061328391,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1232","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.844836298355693,-0.760040192776437,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,-1.74666837855838,2.24860063981119,-3.31703398014591,-5.00841010677546,5.79841825759943,-0.760040192776437,0.226564484085857,0.488541446941477,0.844836298355693,0.642187499999999,0.908284167947151,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1233","DESeq2",59.5570152408281,-9.68504815785388,1.55032270863596,-6.2471175219869,4.18096483851094e-10,2.84828229623558e-09,"deseq2",2.84828229623558e-09,-9.68504815785388,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1233","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.448121527960748,-2.35636682313496,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,2.2274600648505,2.63248575596658,-3.13105749989026,-6.16032464401373,2.58144907436492,-2.35636682313496,0.000547999460257121,0.129256849042052,0.448121527960748,0.2,0.45901555986124,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1236","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.107191724651489,4.42783784252541,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Epibacterium",NA,-3.50676146119061,-5.56755614822715,5.47753629429948,11.1164407822837,2.59463224312506,4.42783784252541,0.000547999460257121,0.0182862371187535,0.107191724651489,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Epibacterium","Significant"
"ASV1236","DESeq2",23.6971503869956,7.91617898030737,1.35515813516346,5.8415167757175,5.17276685215982e-09,1.65832819672182e-08,"deseq2",1.65832819672182e-08,7.91617898030737,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Epibacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,"Epibacterium","Significant"
"ASV1244","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.109947383477205,4.35680441023887,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,-3.54866231536733,-5.45225597565329,5.54805861180003,11.1118842784336,2.59157368138018,4.35680441023887,0.000547999460257121,0.0199491348333349,0.109947383477205,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1244","DESeq2",24.2011519374277,7.94585966469176,1.37338897436142,5.78558573938334,7.22600920691726e-09,2.18787500987217e-08,"deseq2",2.18787500987217e-08,7.94585966469176,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1253","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.430728405733011,-2.29479378604598,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,2.42161939429302,2.70755755668311,-3.06020283917729,-5.84852880009832,2.93872876426447,-2.29479378604598,0.000547999460257121,0.120373039250551,0.430728405733011,0.2,0.45901555986124,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Arenicella","Significant"
"ASV1253","DESeq2",60.2582794624485,-9.70330377397204,1.52669318156752,-6.35576544856856,2.07391273393704e-10,1.61468919999384e-09,"deseq2",1.61468919999384e-09,-9.70330377397204,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Arenicella","Significant"
"ASV13","DESeq2",103.031153858047,-10.4868981131949,1.55046833465809,-6.76369705770704,1.34514202310119e-11,2.44367467530049e-10,"deseq2",2.44367467530049e-10,-10.4868981131949,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ib","Significant"
"ASV13","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.447591429599636,-2.63524099217137,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,2.76962219915127,3.74023153016408,-3.58580921433973,-6.97522941034673,2.79408603597712,-2.63524099217137,0.000547999460257121,0.122034014029795,0.447591429599636,0.2,0.45901555986124,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Clade Ib","Significant"
"ASV1328","DESeq2",50.4266379695147,-9.44556611887832,1.88632907560493,-5.00737980505824,5.5175984829159e-07,1.03692799075489e-06,"deseq2",1.03692799075489e-06,-9.44556611887832,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1328","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.455900954420263,-1.89786806506526,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,0.972132979266947,1.71907986489073,-3.35629302820065,-5.42502842152834,2.73004498896777,-1.89786806506526,0.00789046640005469,0.123660137599256,0.455900954420263,0.2078125,0.468750584250825,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,NA,"Significant"
"ASV1331","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0986320572419256,4.83449010478959,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,-3.76127602976908,-5.66762915679849,5.79776757242046,11.2208453294741,2.45008386052257,4.83449010478959,0.000547999460257121,0.0154581573285177,0.0986320572419256,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1331","DESeq2",31.3340241105224,8.31811201934848,1.47411333551596,5.64279002091589,1.6731635891285e-08,4.44816661500015e-08,"deseq2",4.44816661500015e-08,8.31811201934848,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,NA,"Significant"
"ASV1334","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.435229953556635,-2.19275707453651,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,1.36520812261855,1.79533421784267,-2.95782224141378,-4.77602388791736,2.16241569664082,-2.19275707453651,0.00782930484115282,0.1309334192107,0.435229953556635,0.20625,0.465700845690547,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Dasania","Significant"
"ASV1334","DESeq2",35.1408737718842,-8.95145471066369,1.60944199317235,-5.56183742479566,2.66948925023845e-08,6.7668448436277e-08,"deseq2",6.7668448436277e-08,-8.95145471066369,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Dasania","Significant"
"ASV141","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.504447250619106,-1.84874013330541,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,0.961107851161006,1.88150751339692,-3.1229491504087,-4.8274875338146,2.53819154950214,-1.84874013330541,0.00782930484115282,0.157951660276015,0.504447250619106,0.2015625,0.461807767653448,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Synechococcus CC9902","Significant"
"ASV141","DESeq2",29.2703767195298,-8.67023066458805,1.57706686459072,-5.49769376255213,3.8479040808621e-08,9.5323078366811e-08,"deseq2",9.5323078366811e-08,-8.67023066458805,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,"Synechococcus CC9902","Significant"
